REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Mar-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.5,,,,1
Apr-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.8,,,,1
May-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Jun-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.3,,,,1
Jul-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.1,,,,1
Aug-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.1,,,,1
Sep-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.6,,,,1
Oct-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.3,,,,1
Nov-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.9,,,,1
Dec-06,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Jan-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.4,,,,1
Feb-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
Mar-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Apr-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.2,,,,1
May-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.8,,,,1
Jun-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.6,,,,1
Jul-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.3,,,,1
Aug-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.6,,,,1
Sep-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.2,,,,1
Oct-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.9,,,,1
Nov-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.5,,,,1
Dec-07,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.4,,,,1
Jan-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.9,,,,1
Feb-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
Mar-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.4,,,,1
Apr-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
May-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.1,,,,1
Jun-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.8,,,,1
Jul-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.4,,,,1
Aug-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.5,,,,1
Sep-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,64.1,,,,1
Oct-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.8,,,,1
Nov-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.4,,,,1
Dec-08,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,63.1,,,,1
Jan-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Feb-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.5,,,,1
Mar-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
Apr-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
May-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.3,,,,1
Jun-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Jul-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Aug-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.5,,,,1
Sep-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.1,,,,1
Oct-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.8,,,,1
Nov-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.6,,,,1
Dec-09,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.4,,,,1
Jan-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.9,,,,1
Feb-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.5,,,,1
Mar-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.2,,,,1
Apr-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,60.5,,,,1
May-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,61.1,,,,1
Jun-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62,,,,1
Jul-10,Canada,2016A000011124,Total population,Employment rate,15 years and over,Percentage,242,units,0,v53035514,1.1.10.1,62.6,,,,1
