Month,Total population,Landed immigrants,"Immigrants, landed 5 or less years earlier","Immigrants, landed more than 5 to 10 years earlier","Immigrants, landed more than 10 years earlier",Born in Canada
06-Mar,61.5,56.8,57.4,65.9,55,63
06-Apr,61.8,57.2,58.3,66.1,55.3,63.2
06-May,62.5,57.5,58.5,66.8,55.5,64.1
06-Jun,63.3,57.8,58,66.9,56,65
06-Jul,64.1,58.1,57.9,67.4,56.3,65.9
06-Aug,64.1,58,58.3,66.9,56.1,66
06-Sep,63.6,57.8,58.2,66,55.9,65.5
06-Oct,63.3,57.6,57.6,65.2,55.9,65.1
06-Nov,62.9,57.4,56.9,64.2,56.1,64.6
06-Dec,62.8,57.5,57.5,64.4,56,64.5
07-Jan,62.4,57.3,58.4,64.2,55.7,64
07-Feb,62.2,57.4,58.8,65.1,55.8,63.6
07-Mar,62,57.4,58.3,65.6,55.9,63.4
07-Apr,62.2,57.6,57.6,66.1,56.1,63.7
07-May,62.8,57.7,57.6,66.7,56,64.4
07-Jun,63.6,57.9,57,67.4,56.2,65.4
07-Jul,64.3,58.1,57.2,68.3,56.2,66.4
07-Aug,64.6,58,57.2,68.4,56,66.7
07-Sep,64.2,57.9,57.8,67.9,55.8,66.2
07-Oct,63.9,57.8,57.3,67.3,55.9,65.8
07-Nov,63.5,57.8,57.4,66.9,56.1,65.4
07-Dec,63.4,57.9,57.9,67.2,56,65.2
08-Jan,62.9,57.6,58.6,66.7,55.6,64.6
08-Feb,62.6,57.3,59,65.6,55.4,64.3
08-Mar,62.4,57.1,58.5,63.7,55.7,64
08-Apr,62.6,57.3,58.5,62.9,56,64.2
08-May,63.1,57.8,59,63.5,56.4,64.8
08-Jun,63.8,58,60.3,64.1,56.4,65.7
08-Jul,64.4,58,60.9,64.8,56,66.5
08-Aug,64.5,57.7,61,64.8,55.5,66.7
08-Sep,64.1,57.5,61,65.4,55.1,66.2
08-Oct,63.8,57.7,60.8,65.7,55.2,65.8
08-Nov,63.4,57.7,60.5,66,55.3,65.2
08-Dec,63.1,57.4,59.9,65.4,55.1,64.8
09-Jan,62.1,56.5,59.1,64,54.5,63.9
09-Feb,61.5,56,57.8,63.1,54.2,63.1
09-Mar,60.9,55.7,56.7,62.8,54.2,62.4
09-Apr,60.9,55.8,56.6,62.7,54.3,62.4
09-May,61.3,55.9,57.1,62.5,54.4,62.9
09-Jun,62,56,57.7,61.7,54.5,63.8
09-Jul,62.5,56.2,57.7,62.3,54.6,64.4
09-Aug,62.5,56.1,57.7,62.6,54.3,64.4
09-Sep,62.1,56,57.8,62.9,54.2,63.9
09-Oct,61.8,56.1,57.3,62.9,54.4,63.5
